pair_ID,question1,question2,relatedness_score,entailment_judgment
725,A few men in a competition are running outside,A man is leading the race,3.8,0
727,A man with a camera is studying the subject,There is no man with a camera studying the subject,3.6,1
728,A man with a camera is studying the subject,The study subject is a camera man,3.6,0
729,The man with the dyed purple hat is operating a camera that makes videos,The man in the purple hat is operating a camera that makes videos,4.9,1
730,The man in the purple hat isn't operating a camera that makes videos,The man in the purple hat is operating a camera that makes videos,3.4,1
731,The man with the dyed purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.4,0
732,A man with a camera is studying the subject,The man in the purple hat isn't operating a camera that makes videos,3.2,0
733,The man in the purple hat is operating a camera that makes videos,The subject is being studied by a man with a camera,3.6,0
734,The man in the purple hat is operating a camera that makes videos,There is no man with a camera studying the subject,3.2,0
735,The study subject is a camera man,The man in the purple hat is operating a camera that makes videos,2.8,0
736,The man in the purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.3,0
737,The bride and the groom are leaving after the marriage,The bride and the groom are leaving after the wedding,4.8,1
738,The bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,4.3,0
741,A married couple is walking up the aisle,A married couple is walking down the aisle,4.4,1
745,The priest is walking down the aisle to marry a couple,The bride and the groom are leaving after the wedding,2.8,0
746,The bride and the groom are leaving after the marriage,A married couple is walking down the aisle,3.6,0
747,The bride and the groom are arriving after the wedding,A married couple is walking down the aisle,4,0
748,A married couple is walking down the aisle,The bride is leaving the groom after the wedding,2.6,0
749,A married couple is walking down the aisle,The bride and the groom are leaving after the wedding,3.4,0
752,The presentation is being watched by a classroom of students,The presentation is being attended by a classroom of students,4.8,1
754,The presentation is being attended by a classroom of students,A classroom is full of students,3.4,0
757,The presentation is being watched by a classroom of students,A classroom is empty,3,0
760,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,A boy at the bottom of a hill covered in snow is naked and is sitting on his knees,3.2,0
761,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,A boy on a red and black slide is wearing a jacket and a hat and has knees which are covered in snow,3.5,0
762,The kid is happily sliding in the snow,The kid is sliding in the snow,4.5,1
764,A snow slide is full of kids,The kid is sliding in the snow,3.4,0
766,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,The kid is still in the snow,3.4,1
769,The kid is sliding in the snow,A boy at the bottom of a hill covered in snow is naked and is sitting on his knees,2.7,0
772,A woman and a dog are peacefully sitting on a tree stump,A woman and a dog are sitting on a tree stump,4.5,1
774,A woman  who is old  is near a dog that has a white coat,A woman  who is old  is near a white dog,4.4,1
777,A woman  who is old  is far from a white dog,A woman and a dog are sitting on a tree stump,2.4,0
783,A man is watering the grass and excitedly playing with a dog,A dog is excitedly playing with water in the grass,3.5,0
784,The dog is biting some droplets of water,The dog is snapping at some droplets of water,4.5,1
785,The dog is snapping at some droplets of water,The dog isn't snapping at some droplets of water,4,1
789,A dog is excitedly playing with water in the grass,A snap is depicting some water falling in droplets on the dog,2.9,0
791,The dog is snapping at some droplets of water,There is no dog excitedly playing with water in the grass,3.5,0
792,A man is watering the grass and excitedly playing with a dog,The dog is snapping at some droplets of water,2.4,0
793,The dog is snapping at some droplets of water,A dog is excitedly playing with water in the grass,4.2,0
796,Two people are in the snow  wearing clothes that provide camouflage,Some people are in the snow  wearing clothes that provide camouflage,4.4,1
797,Nobody is in the snow wearing clothes that provide camouflage,Two people are in the snow  wearing clothes that provide camouflage,3.3,1
799,Some people are in the snow  wearing clothes that provide camouflage,Two people are walking two dogs with golden coats in the snow,2.7,0
802,Two people are in the snow  wearing clothes that provide camouflage,Two men are walking two dogs with golden coats in the snow,3.2,0
804,Two people are in the snow  wearing clothes that provide camouflage,Two people are walking two dogs with golden coats in the snow,2.7,0
811,There is no girl wearing a t-shirt and keeping her mouth open,A girl from Asia  in front of a brick window  looks surprised,2.2,0
812,A girl from Asia  in front of a window made of bricks  looks surprised,A girl is wearing a t-shirt and has her mouth open.,2.4,0
813,A girl from Asia  in front of a brick window  doesn't look surprised,A girl is wearing a t-shirt and has her mouth open.,2.1,0
820,A person in biking gear is standing steadily in front of some mountains ,The mountain gear is steadily placed in front of the standing biker,3.6,0
822,There is no person in bike gear standing steadily in front of the mountains,A group of people is equipped with protective gear,2.3,0
824,A group of people is equipped with gear used for protection,A person in biking gear is standing steadily in front of some mountains ,2,0
825,A group of people is equipped with unprotective gear,A person in biking gear is standing steadily in front of some mountains ,2,0
830,The little kid is playing football and falling harmlessly into the grass,The little kid is playing football and falling into the grass,4.6,1
831,There is no little kid playing football and falling into the grass,The little kid is playing football and falling into the grass,4.1,1
836,The football is between the feet of a boy who is lying on the grass,The little kid is playing football and falling into the grass,3.5,0
839,The football is between the feet of a boy who is lying on the grass,The little kid is playing football and falling into the grass,3.7,0
841,A man with equipment used for climbing is hanging from a white  vertical rock.,A man with equipment used for climbing is under a vertical  white rock,3.9,0
844,A woman with a ponytail is climbing down a wall of rock,A woman with a ponytail is climbing a wall of rock,4.085,1
845,A woman with a ponytail is climbing a wall of rock,A woman is tailing a pony near a rock climbing wall,2.9,0
846,A man with equipment used for climbing is hanging from a white  vertical rock.,A woman with pigtails is climbing a rock wall,2.1,0
848,A woman is tailing a pony near a rock climbing wall,A man with equipment used for climbing is hanging from a white  vertical rock.,1.8,0
851,A woman with a ponytail is climbing a wall of rock,The climbing equipment to rescue a man is hanging from a white  vertical rock,1.8,0
852,A man with equipment used for climbing is hanging from a white  vertical rock.,A woman with a ponytail is climbing a wall of rock,2.7,0
855,A black and a white dog are joyfully running on the grass,A black person in white is joyfully running with the dog on the grass,2.4,0
857,One white dog and one black one are sitting side by side on the grass,One white dog and one black one are running side by side on the grass,3.7,0
858,One white dog and one black one are cheerfully running side by side on the grass,A black and a white dog are joyfully running on the grass,4.4,1
859,One white dog and one black one are sitting side by side on the grass,A black and a white dog are joyfully running on the grass,4.115,0
862,A black person in white is joyfully running with the dog on the grass,One white dog and one black one are running side by side on the grass,2.3,0
864,A lot of people are in an ice skating park,Not a lot of people are in an ice skating park,3.9,1
866,Many people are skating in an ice park,A lot of people are in an ice skating park,3.9,0
867,The ice skating rink placed outdoors is full of people,An ice skating rink placed outdoors is full of people,4.9,1
868,An ice skating rink placed outdoors is empty,An ice skating rink placed outdoors is full of people,3.6,1
869,An ice skating rink placed outdoors is full of people,An ice skater is outdoors performing on a rink full of people,4,0
870,The ice skating rink placed outdoors is full of people,A lot of people are in an ice skating park,4.2,1
872,A lot of people are in an ice skating park,An ice skater is outdoors performing on a rink full of people,3.5,0
874,An ice skating rink placed outdoors is full of people,There aren't many people in the ice skating park,3.6,1
876,An ice skating rink placed outdoors is full of people,A lot of people are in an ice skating park,4.5,1
878,A girl in a uniform  which is blue  is lowering her arm,A girl in a uniform  which is blue  is raising her arm.,3.4,0
879,A girl is raising a blue uniform with her arm,A girl in a uniform  which is blue  is raising her arm.,3.3,0
880,The girl in the blue and white uniform is cheering,Some cheers are being performed by the girl in the blue and white uniform,4.9,1
881,The girl in the blue and white uniform isn't cheering,The girl in the blue and white uniform is cheering,4.1,1
883,Some cheers are being performed by the girl in the blue and white uniform,A girl in a uniform  which is blue  is raising her arm.,4.2,0
887,The girl in the blue and white uniform is cheering,A girl in a uniform  which is blue  is lowering her arm,3.4,0
888,A girl is raising a blue uniform with her arm,The girl in the blue and white uniform is cheering,3.2,0
889,A girl in a uniform  which is blue  is raising her arm.,The girl in the blue and white uniform is cheering,3.3,0
892,People are on a beach full of sand by the ocean and are enjoying a sunny day,People are on a beach full of sand by the ocean and are enjoying a day full of sun,4.8,1
893,People are far from a beach full of sand by the ocean and are suffering from the sunny day,People are on a beach full of sand by the ocean and are enjoying a sunny day,2.9,0
895,People are far from a beach full of sand by the ocean and are suffering from the sunny day,A bunch of people is on the shore,2.8,0
898,People are on a beach full of sand by the ocean and are enjoying a sunny day,A bunch of people is on the shore,3.8,1
902,The man is doing a wheelie with a motorbike in a field which is mostly barren,The man is doing a wheelie with a motorcycle on ground which is mostly barren,4.4,1
904,The man is doing a wheelie with a motorcycle on ground which is mostly barren,The man is on ground which is mostly barren  filming a wheelie done with a motorcycle.,3.5,0
906,A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,The man is getting off a motorcycle onto ground which is mostly barren,3.5,0
908,A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren,4.1,0
909,A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren,3.4,0
910,The man is doing a wheelie with a motorcycle on ground which is mostly barren,A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit,3.6,0
915,Two people are arguing near a crowd,Two people are kissing near a crowd,3,0
917,Two people are passionately kissing near a crowd,A woman is being kissed by a man,4,0
920,Two people are kissing near a crowd,A lady is being kissed by a man,4.1,0
922,Two people are kissing near a crowd,A woman is being kissed by a man,4,0
927,The young girl is blowing a bubble that is huge,The young girl is blowing a bubble that is very small,3.7,1
931,The young girl is blowing a bubble that is huge,The girl in a dyed red shirt isn't blowing a bubble,3.3,0
932,A bubble blew  dyeing the girl's shirt red.,The young girl is blowing a bubble that is huge,3,0
935,A young child is barefoot and is walking past a puddle full of mud,A young child is wearing green boots and playing in a puddle full of mud,3.5,0
936,A young child is wearing green boots and playing in a puddle full of mud,Some green boots in a puddle full of mud are targeted by a playful young child wearing a scarf,3,0
940,A young child is wearing green boots and playing in a puddle full of mud,A little boy is jumping into a puddle in the street,3.8,0
943,A little boy is jumping into a puddle on the street,A young child is wearing boots made of green rubber and playing in a puddle full of mud,4.2,0
944,A young child is barefoot and is walking past a puddle full of mud,A little boy is jumping into a puddle on the street,2.9,0
945,Some green boots in a puddle full of mud are targeted by a playful young child wearing a scarf,A little boy is jumping into a puddle on the street,2.6,0
948,Two toddlers are sleeping in a wagon  which is really small,Two toddlers are eating corndogs in a wagon  which is really small,3.4,0
949,Two toddlers are eating on a really small wagon full of corndogs ,Two toddlers are eating corndogs in a wagon  which is really small,3.9,0
950,Two young kids are eating corndogs,Two young children are eating corndogs,4.9,1
953,Two toddlers are eating corndogs in a wagon  which is really small,Two young children are eating corndogs,4.5,1
956,Some corndogs are being eaten by two toddlers who are in a wagon  which is really small,Two young kids are eating corndogs,4.3,1
957,Two toddlers are sleeping in a wagon  which is really small,Two young kids are eating corndogs,1.6,0
959,Two toddlers are eating corndogs in a wagon  which is really small,Two young kids are eating corndogs,4.3,1
960,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,5,1
961,A man in a shirt dyed purple is walking away from a man in a black shirt  who is serious,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,3.4,1
962,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a purple shirt is dying another shirt black  which has a man looking at a dog doing a funny face painted on it.,3,0
963,A man in a pose is being amusedly watched by another man,A man doing a pose is being watched by another man,4.6,1
967,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,There is no man in a pose being watched by another man,3.6,0
970,A man doing a pose is being watched by another man,A man in a shirt dyed purple is walking away from a man in a black shirt  who is serious,2.8,0
973,A horse is tossing the cowboy wearing pants of blue and red color,The cowboy in blue and red pants is being tossed by a horse,4.9,1
975,A horse is tossing the cowboy wearing pants of blue and red color,The cowboy is tossing the blue and red pants towards the horse,2.9,0
978,A man is laying a cover over a wild horse that is falling on the track,A man is falling off a horse on a track and is laid in the wild,3,0
979,A man is abruptly falling off a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,3.4,0
984,A man is falling off a horse on a track and is laid in the wild,The cowboy is tossing the blue and red pants towards the horse,2.2,0
985,A man is falling off a horse on a track and is laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,2.7,0
989,The man and the boy are standing at the bottom of the stairs  which are outdoors,A man and a boy are standing at the bottom of some stairs  which are outdoors,5,1
991,The man and the boy are standing at the bottom of the stairs  which are outdoors,The man is standing outdoor and the boy is falling over the bottom of the stairs,3.3,0
994,An adult is in the amphitheater and is talking to a boy,The man is standing outdoor and the boy is falling over the bottom of the stairs,2,0
996,There is no adult in the amphitheater talking to a boy,The man and the boy are standing at the bottom of the stairs  which are outdoors,2.2,0
998,The man and the boy are standing at the bottom of the stairs  which are outdoors,An adult is in the amphitheater and is talking to a boy,1.8,0
1000,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,A boy in a red shirt is behind a long blue wall and is lowering an eyebrow  facing the camera,4,0
1002,There is no boy standing in front of the blue building in the space reserved for handicapped people,A boy is standing in front of the blue building in the space reserved for handicapped people,4.1,1
1004,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,There is no boy standing in front of the blue building in the space reserved for handicapped people,2,0
1007,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,A boy is standing in front of the blue building in the space reserved for handicapped people,2.4,0
1008,The Jockeys are riding horses on the field  which is completely green,The Jockeys are racing horses on the field  which is completely green,4.7,1
1009,The Jockeys are racing horses on the field  which is completely green,The Jockeys are slowing down their horses on the field  which is completely green,4.2,0
1010,The green field for horse races is completely full of Jockeys,The Jockeys are racing horses on the field  which is completely green,4,1
1016,Some furious racers on the green grass are yelling at the horses jumping an obstacle,The Jockeys are racing horses on the field  which is completely green,2.8,0
1018,Some horses are racing furiously over the green grass and jumping an obstacle,The Jockeys are slowing down their horses on the field  which is completely green,3,0
1019,Some horses are racing furiously over the green grass and jumping an obstacle,The green field for horse races is completely full of Jockeys,3.9,0
1021,A woman is wearing sunglasses of large size and is holding newspapers in both hands,The woman is wearing sunglasses of large size and is holding newspapers in both hands,5,1
1022,A woman is wearing sunglasses of large size and is holding newspapers in both hands,There is no woman wearing sunglasses of large size and holding newspapers in both hands,3.8,1
1026,An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,3.6,0
1028,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,The woman is wearing sunglasses of large size and is holding newspapers in both hands,3.5,0
1029,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,There is no woman wearing sunglasses of large size and holding newspapers in both hands,3,0
1031,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,3.8,0
1033,A person who is practicing snowboarding falls from the air,A person who is practicing snowboarding jumps into the air,3.5,0
1037,The snowboarder is leaping over white snow,A leap over white snow is greatly appealing to the snowboarders,3.2,0
1038,The snowboarder is leaping fearlessly over white snow,A person who is practicing snowboarding jumps into the air,3.9,1
1043,A practicing jumper is tossing a person's snowboard into the air,The snowboarder is leaping over white snow,2.8,0
1044,The snowboarder is leaping over white snow,A person who is practicing snowboarding jumps into the air,4.1,1
1045,A dog is near a ball colored in red  which is in the air,A dog is near the red ball in the air,4.9,1
1046,A dog is near the red ball in the air,A dog is far from the red ball in the air,3.6,1
1047,A dog is jumping in the air to catch a red ball,A dog is near the red ball in the air,4.2,0
1048,A dog  which is small  is playing tirelessly on the green grass,A dog  which is small  is playing on the green grass,4.7,1
1049,A dog  which is small  is playing on the green grass,A dog  which is small  is running out of the green grass,3.9,0
1050,A dog  which is small  is playing on the green grass,A small kid is playing with a green toy dog on the grass,2.8,0
1052,A dog  which is small  is running out of the green grass,A dog is near the red ball in the air,2.6,0
1053,A dog is near the red ball in the air,A small kid is playing with a green toy dog on the grass,1.8,0
1054,A dog  which is small  is playing on the green grass,A dog is near a ball colored in red  which is in the air,2.4,0
1055,A dog is far from the red ball in the air,A dog  which is small  is playing on the green grass,2,0
1057,A dog is near the red ball in the air,A dog  which is small  is playing on the green grass,2.7,0
1061,A man is riding a motorbike in the event related to motocross,A person is riding a motorbike in the event related to motocross,4.4,1
1064,The person is riding a motorbike on a sandy track,A man is riding a motorbike in the event related to motocross,3.6,0
1065,There is no person riding a motorbike in the event related to motocross,The person is riding a motorbike on a sandy track,3.565,0
1068,A person is riding a motorbike in the event related to motocross,The person isn't riding a motorbike on a sandy track,3.3,0
1069,A motorbike rider is jumping over a person on a sandy track,A person is riding a motorbike in the event related to motocross,3.3,0
1074,The young girl with a pink shirt is peacefully lying on the grass,The young girl with a pink shirt isn't peacefully lying on the grass,4.5,1
1076,A girl is wearing a pink shirt with white writing on it and is lying in the grass,The young girl with a shirt dyed pink is peacefully lying on the grass,4.1,0
1080,The young girl with a pink shirt is peacefully lying on the grass,A girl is naked and is standing on the grass,3.3,0
1082,A dog of large size is running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,4.7,1
1083,There is no large dog running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,3.5,1
1084,A large dog is running on the grass with a tennis ball in its mouth,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,3.8,0
1087,A dog  which is large and gray  is carrying a ball in its mouth and running across the grass,A large  gray ball is hitting a running dog  which is carrying some grass in its mouth,3.1,0
1088,A large dog is running on the grass with a tennis ball in its mouth,A dog  which is large and gray  is difficultly carrying a ball in its mouth and running across the grass,4.2,0
1090,A large  gray ball is hitting a running dog  which is carrying some grass in its mouth,A large dog is running on the grass with a tennis ball in its mouth,2.45,0
1091,A dog  which is large and gray  is carrying a ball in its mouth and running across the grass,A dog of large size is running on the grass with a tennis ball in its mouth,4.2,0
1092,A dog  which is large and gray  is carrying a ball in its mouth and running across the grass,There is no large dog running on the grass with a tennis ball in its mouth,3.4,0
1093,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,A dog  which is large and gray  is carrying a ball in its mouth and running across the grass,3.2,0
1094,A dog  which is large and gray  is carrying a ball in its mouth and running across the grass,A large dog is running on the grass with a tennis ball in its mouth,4.4,1
1095,A man is opening a small package that contains headphones,A man is opening a package that contains headphones,4.9,1
1097,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,2.9,0
1099,There is no woman riding a horse,A woman is riding a horse,2.8,1
1104,A man who is wearing headphones is opening a package ,A woman is riding a horse,1.2,0
1105,A woman is riding a horse,A man is opening a package that contains headphones,1.1,0
1108,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,2.8,0
1109,A man is singing and playing the guitar,A man is singing a song and playing the guitar,4.9,1
1111,A man is singing a song and playing the guitar,A man is opening a package that contains headphones,1.2,0
1112,A man is opening a package that contains headphones,There is no man singing and playing the guitar,1.2,0
1115,A man is singing and playing the guitar,A man who is wearing headphones is opening a package ,1.9,0
1117,A dog is riding a skateboard in a park,A dog is riding a skateboard,4.3,1
1118,A dog is riding a skateboard,There is no dog riding a skateboard,3.5,1
1120,A dog is riding a skateboard,There is no dog riding a skateboard,3.2,1
1122,There is no dog riding a skateboard,A dog is riding a skateboard,3.8,1
